Rank,Username,Categories,Suscribers,Country,Visits,Likes,Comments,Links
347,marvel,"Pel?­culas, Animaci?³n",20300000,Estados Unidos,94400,5200,216,http://youtube.com/channel/UCvC4D8onUfXzvjTOM-dBfEA
350,gordonramsay,"Comida y bebida, Salud y autoayuda",20100000,Estados Unidos,114900,2800,117,http://youtube.com/channel/UCIEv3lZ_tNXHzL3ox-_uUGQ
351,BuzzFeedVideo,Comida y bebida,20100000,Estados Unidos,15500,377,8,http://youtube.com/channel/UCpko_-a4wgz2u_DgDgd9fqA
352,unboxtherapy,Dise?±o/arte,20100000,Estados Unidos,178500,7300,140,http://youtube.com/channel/UCsTcErHg8oDvUnTzoqsYeNw
353,gusttavolimaoficial,M??sica y baile,20100000,Brasil,131000,6000,88,http://youtube.com/channel/UCXooz9whNJZBRTHi9AqdjPw
354,AuthenticGames,"Pel?­culas, Videojuegos",20100000,Brasil,20100,2200,34,http://youtube.com/channel/UCIPA6iWNaoetaa1T46RkzXw
356,pencilmation,"Animaci?³n, Humor",20100000,Estados Unidos,179700,1500,88,http://youtube.com/channel/UCUAL--p3qAa27luR0IYbjZA
359,React,Humor,20100000,Estados Unidos,133300,5400,214,http://youtube.com/channel/UC0v-tlzsn0QZwJnkiaUSJVQ
360,PTXofficial,M??sica y baile,20100000,Estados Unidos,0,0,0,http://youtube.com/channel/UCmv1CLT6ZcFdTJMHxaR9XeA
361,VEVO,M??sica y baile,20100000,Estados Unidos,9500,519,7,http://youtube.com/channel/UC2pmfLm7iq6Ov1UwYrWYkZA
363,BGT,"M??sica y baile, Pel?­culas",19900000,Reino Unido,40800,576,28,http://youtube.com/channel/UCUtZaxDF3hD5VK4xRYFBePQ
364,sctv_,"M??sica y baile, Pel?­culas",19900000,Indonesia,10900,225,13,http://youtube.com/channel/UC_vsErcsq56hOscPHkG-aVw
365,ClashOfClans,"Pel?­culas, Animaci?³n",19900000,Estados Unidos,1600000,30100,952,http://youtube.com/channel/UCD1Em4q90ZUK2R5HKesszJg
367,Vsauce,Ciencia y tecnolog?­a,19900000,Estados Unidos,4500000,449000,3600,http://youtube.com/channel/UC6nSFpj9HTCZ5t-N3Rm3-HA
371,fifa,Deportes,19700000,Estados Unidos,43200,2100,28,http://youtube.com/channel/UCpcTrCXblq78GZrTUTLWeBw
372,CraftyPanda,"Pel?­culas, Humor",19700000,India,18000,136,5,http://youtube.com/channel/UC03RvJoIhm_fMwlUpm9ZvFw
373,DLSNews,Noticias y Pol?­tica,19700000,India,123000,3800,188,http://youtube.com/channel/UCw0ry7cLRUnq3Oaszlhgqfg
377,Sidemen,"Videojuegos, Humor",19500000,Reino Unido,9200000,284800,8200,http://youtube.com/channel/UCDogdKl7t7NHzQ95aEwkdMw
381,sonotek,"M??sica y baile, Animaci?³n",19300000,India,9800,396,70,http://youtube.com/channel/UC3zVeAaoPEN1Tu25dW3G2Ig
385,degoboom,"Pel?­culas, Animaci?³n",19200000,M?©xico,156100,5200,22,http://youtube.com/channel/UCj9rK3jt8qmih4mZX0UL67g
387,CalvinHarris,M??sica y baile,19100000,Estados Unidos,71300,3500,156,http://youtube.com/channel/UCIjYyZxkFucP_W-tmXg_9Ow
388,howridiculous,Videojuegos,19100000,Estados Unidos,3700000,68300,312,http://youtube.com/channel/UC5f5IV0Bf79YLp_p9nfInRA
392,ThePoznavatel,"DIY y Life Hacks, Juguetes",19100000,Rusia,2300000,33200,2100,http://youtube.com/channel/UCXTMoE1XgvxN4iCt5-gZzCw
394,TEDEd,Ciencia y tecnolog?­a,19100000,Estados Unidos,303100,12400,512,http://youtube.com/channel/UCsooa4yRKGN_zEE8iknghZA
395,HiBestMan,Videojuegos,19100000,Rusia,1300000,49300,1600,http://youtube.com/channel/UCM44x9uWlx__9M9Y2IFhxzQ
396,cardib,M??sica y baile,19100000,Estados Unidos,131800,11500,475,http://youtube.com/channel/UCxMAbVFmxKUVGAll0WVGpFw
401,grammygoldofficial,M??sica y baile,18800000,Tailandia,12900,309,9,http://youtube.com/channel/UCFWsjsN53Sqvg2pWhSFmWBQ
402,IanLucasOficial,"Pel?­culas, Humor",18800000,Argentina,5600000,401700,2700,http://youtube.com/channel/UCmzDf_a7CCFuxos7hspcWRQ
403,alia,"Animaci?³n, Videojuegos",18800000,Estados Unidos,336100,10200,297,http://youtube.com/channel/UCYVinkwSX7szARULgYpvhLw
404,ArianaGrandeVevo,"M??sica y baile, Humor",18700000,Estados Unidos,0,0,0,http://youtube.com/channel/UC0VOyT2OCBKdQhF3BAbZ-1g
405,MrMarmok,"Animaci?³n, Videojuegos",18600000,Rusia,3600000,328100,6700,http://youtube.com/channel/UCf31Gf5nCU8J6eUlr7QSU0w
411,rsiammusic,M??sica y baile,18600000,Tailandia,6200,137,5,http://youtube.com/channel/UCLcCpNY-zaL3vEERD5rh5Ew
412,DanielSaboya,M??sica y baile,18600000,Brasil,12600,544,6,http://youtube.com/channel/UCEUf_uUDUfJJ3XfgwOxm-0A
414,news18India,Noticias y Pol?­tica,18500000,India,5400,114,1,http://youtube.com/channel/UCPP3etACgdUWvizcES1dJ8Q
415,NaisaAlifiaYurizaNAY,"M??sica y baile, Pel?­culas",18400000,Indonesia,160900,7800,78,http://youtube.com/channel/UCtjFp8VXWIscsqQ2wokpo3Q
417,MSA.official,"Animaci?³n, Humor",18400000,Estados Unidos,4300000,96800,3600,http://youtube.com/channel/UCYzEMRKqrh01-tauv7MYyVQ
418,GoodMythicalMorning,Comida y bebida,18400000,Estados Unidos,447300,20200,532,http://youtube.com/channel/UC4PooiX37Pld1T8J5SYT-SQ
421,DannyFitt,Pel?­culas,18300000,M?©xico,340000,14200,128,http://youtube.com/channel/UC_82tbyeBHSaDbL725LMlvw
422,korayzeynep,Vlogs diarios,18200000,Turqu?­a,198800,5800,0,http://youtube.com/channel/UCTAacyv5T4cSus1W4D6eBfA
423,GENHALILINTAR,"M??sica y baile, Humor",18200000,Indonesia,89200,2800,59,http://youtube.com/channel/UCfRNJiafEm1LBBGFTTq4cXw
426,LuisFonsiVEVO,M??sica y baile,18200000,Per??,2000000,33100,3000,http://youtube.com/channel/UCLp8RBhQHu9wSsq62j_Md6A
427,manualdomundo,Ciencia y tecnolog?­a,18200000,Brasil,311200,35500,299,http://youtube.com/channel/UCKHhA5hN2UohhFDfNXB_cvQ
428,KatieAngelTV_,M??sica y baile,18200000,M?©xico,0,0,0,http://youtube.com/channel/UCgSMDG8aGE3YHfBCXHuPpYA
430,SebastianYatra,M??sica y baile,18200000,Colombia,26300,2000,92,http://youtube.com/channel/UCssFxr-IdIa-wpG3jUXYrmw
432,Aphmau,"Animaci?³n, Videojuegos",18000000,Estados Unidos,2000000,37800,2700,http://youtube.com/channel/UCzYfz8uibvnB7Yc1LjePi4g
433,TheGrefg,"Pel?­culas, Videojuegos",18000000,Espa?±a,145900,10400,82,http://youtube.com/channel/UCCEmjNPpJYhGDgaEqeeA4HA
434,RobleisIUTU,"Pel?­culas, Animaci?³n",18000000,Argentina,267500,18500,426,http://youtube.com/channel/UCG8eSYvOQUpb9HM8zU5d6xg
436,tanboykun,M??sica y baile,18000000,Indonesia,1400000,25400,1400,http://youtube.com/channel/UC8rHUssNDJ9YEjfduAqJBmw
437,BispoBrunoLeonardo,M??sica y baile,18000000,Brasil,762100,276400,154000,http://youtube.com/channel/UCVNouUw3d3l5JYVCxhAQXKA
438,News24thinkfirst,Noticias y Pol?­tica,18000000,India,4400,93,4,http://youtube.com/channel/UCuzS3rPQAYqHcLWqOFuY0pw
442,demilovato,M??sica y baile,18000000,Estados Unidos,34300,5200,166,http://youtube.com/channel/UCZkURf9tDolFOeuw_4RD7XQ
443,AMARINTVHD,Noticias y Pol?­tica,18000000,Tailandia,9000,137,5,http://youtube.com/channel/UCzMoibQRslh_1bTuW0YXc6A
444,GameTheory,Pel?­culas,18000000,Estados Unidos,2600000,120000,4500,http://youtube.com/channel/UCo_IB5145EVNcf8hw1Kku7w
445,Jane_asmr,Vlogs diarios,17800000,Indonesia,131600,2600,190,http://youtube.com/channel/UC2fsxQr6Hcx1enORxXgKpxQ
446,portadosfundos,"Pel?­culas, Animaci?³n",17800000,Brasil,390100,26200,184,http://youtube.com/channel/UCEWHPFNilsT0IfQfutVzsag
453,lilpumpeskii,M??sica y baile,17700000,Estados Unidos,139500,5300,566,http://youtube.com/channel/UC6pjHMC4QXMi4llCCjtDXWg
454,NarendraModi,Noticias y Pol?­tica,17700000,India,39500,2700,108,http://youtube.com/channel/UC1NF71EwP41VdjAU1iXdLkw
459,PrimeVideoIN,"Pel?­culas, Animaci?³n",17600000,India,18400,535,4,http://youtube.com/channel/UC4zWG9LccdWGUlF77LZ8toA
460,JFlaMusic,M??sica y baile,17600000,Estados Unidos,59800,3100,426,http://youtube.com/channel/UClkRzsdvg7_RKVhwDwiDZOA
461,musicalrmastv1,M??sica y baile,17600000,Iraq,103600,4500,259,http://youtube.com/channel/UCVrstuGnHjpUXr9G98wwKow
462,mkbhd,Ciencia y tecnolog?­a,17600000,Estados Unidos,1400000,81100,2500,http://youtube.com/channel/UCBJycsmduvYEL83R_U4JriQ
463,RepublicTVBharat,Noticias y Pol?­tica,17600000,India,7100,0,3,http://youtube.com/channel/UC7wXt18f2iA3EDXeqAVuKng
466,HowToBasic,Comida y bebida,17400000,Estados Unidos,1800000,63500,5200,http://youtube.com/channel/UCR4s1DE9J4DHzZYXMltSMAg
467,stubbornfacts,Noticias y Pol?­tica,17400000,India,20700,1000,56,http://youtube.com/channel/UCJZ5gFXzSZ9i-R1HEnS8U_A
468,TheBrianMaps,"Videojuegos, Humor",17400000,Rusia,5100000,390700,11000,http://youtube.com/channel/UCyJrhZm9KXrzRub3-wD2zWg
469,anitta,M??sica y baile,17400000,Brasil,67700,5600,111,http://youtube.com/channel/UCqjjyPUghDSSKFBABM_CXMw
470,jordanmatter,"M??sica y baile, Humor",17400000,Estados Unidos,7900000,98500,8500,http://youtube.com/channel/UCKaCalz5N5ienIbfPzEbYuA
471,TRANSTVofficial,"M??sica y baile, Pel?­culas",17300000,Indonesia,1000,17,1,http://youtube.com/channel/UCIohHXwCEKxWCLvAguJ-GjA
473,popchartbusters,M??sica y baile,17200000,India,14500,350,48,http://youtube.com/channel/UCzL6rJhkoXkIt0fCv9T9_uA
474,Willyrex,"Pel?­culas, Animaci?³n",17200000,M?©xico,133400,10000,72,http://youtube.com/channel/UC8rNKrqBxJqL9izOOMxBJtw
475,Queen,"M??sica y baile, Pel?­culas",17200000,Estados Unidos,122500,8600,206,http://youtube.com/channel/UCiMhD4jzUqG-IgPzUmmytRQ
478,AayuandPihuShow,"Pel?­culas, Humor",17000000,India,2600000,44300,7100,http://youtube.com/channel/UCFcBAGR0drI3F15EhMFjuTg
479,SriBalajiMovies,Pel?­culas,17000000,India,9800,281,0,http://youtube.com/channel/UCoy3dQzEdq1y2zMnT4pdj3Q
482,VICE,Noticias y Pol?­tica,17000000,Estados Unidos,45600,884,56,http://youtube.com/channel/UCn8zNIfYAQNdrFRrr8oibKw
483,GatoGalactico,Animaci?³n,17000000,Brasil,71900,1500,0,http://youtube.com/channel/UCbt4SegZBQLeXMTMvnrfZtw
484,LahariMusicIndia,M??sica y baile,17000000,India,14000,523,8,http://youtube.com/channel/UCnSqxrSfo1sK4WZ7nBpYW1Q
486,BBCHindi,Noticias y Pol?­tica,17000000,India,84900,0,181,http://youtube.com/channel/UCN7B-QD0Qgn2boVH5Q0pOWg
488,withkids2063,"Animaci?³n, Juguetes",16900000,Estados Unidos,28200,0,0,http://youtube.com/channel/UC6ye474SJCiPsEPueO_b3Gw
489,BeastPhilanthropy,Comida y bebida,16900000,Estados Unidos,21500000,952100,24000,http://youtube.com/channel/UCAiLfjNXkNv24uhpzUgPa6A
490,BollywoodClassics,M??sica y baile,16900000,India,40100,191,12,http://youtube.com/channel/UCZ_OLiS7DkyCg89eV_qQMoQ
491,DesiMelodies,M??sica y baile,16800000,India,2400000,9500,259,http://youtube.com/channel/UC783dnzJqf2ghHp_pFLYbGA
492,IvanaAlawi,"Pel?­culas, Humor",16800000,Filipinas,3200000,109400,6800,http://youtube.com/channel/UCypeLkg3Ne5-LIyiB41b1GQ
493,NMFNews,Noticias y Pol?­tica,16800000,India,4000,86,2,http://youtube.com/channel/UCvxi7_X1VSaMr_osIamYNaw
494,DeToxoMoroxo-Oficial,"Pel?­culas, Animaci?³n",16800000,M?©xico,352900,15600,2800,http://youtube.com/channel/UCq_oSgHK9lk6NUUgkhUOPnw
495,ufc,Deportes,16800000,Estados Unidos,86700,1700,189,http://youtube.com/channel/UCvgfXK4nTYKudb0rFR6noLA
496,gmmtv,"M??sica y baile, Pel?­culas",16800000,Tailandia,34000,951,27,http://youtube.com/channel/UC8BzJM6_VbZTdiNLD4R1jxQ
497,SagarKalraShorts,Vlogs diarios,16800000,India,864100,8000,129,http://youtube.com/channel/UClO7QTL3RLMGW9Px4Q8znog
499,TuCOSMOPOLIS,Noticias y Pol?­tica,16800000,M?©xico,37900,2400,249,http://youtube.com/channel/UCo4ywJQXfUIB0lCBpczW3cA
501,thairathonline,Noticias y Pol?­tica,16700000,Tailandia,9100,137,6,http://youtube.com/channel/UCrFDdD-EE05N7gjwZho2wqw
502,viralhog,Juguetes,16700000,Estados Unidos,39500,1300,28,http://youtube.com/channel/UC3339WgBDKIcxTfywuSmG8w
503,failarmy,"Animaci?³n, Humor",16700000,Estados Unidos,2200000,20700,746,http://youtube.com/channel/UCPDis9pjXuqyI7RYLJ-TTSA
504,IDEASEN5MINUTOSoficial,Pel?­culas,16700000,M?©xico,116500,246,8,http://youtube.com/channel/UC_OLtzRJdg0MJfiqGWAAIHw
507,DailyDoseOfInternet,Animales y mascotas,16600000,Estados Unidos,4000000,193200,5200,http://youtube.com/channel/UCdC0An4ZPNr_YiFiYoVbwaw
508,KaykaiSalaiderChannel,"Pel?­culas, Humor",16600000,Tailandia,813000,32500,369,http://youtube.com/channel/UCdLGCJcIGu5ExzYN6CXtkIw
509,LEGO,Animaci?³n,16600000,Estados Unidos,28000,304,0,http://youtube.com/channel/UCP-Ng5SXUEt0VE-TXqRdL6g
510,RCTILAYARDRAMAINDONESIA,"M??sica y baile, Pel?­culas",16600000,Indonesia,10200,174,5,http://youtube.com/channel/UCzTsWuCdVP_vehWyGwPcS3Q
513,Pitbull,M??sica y baile,16500000,Estados Unidos,9800,859,42,http://youtube.com/channel/UCv8nzwVPQDRjkPCkEsOdEwA
514,boyceavenue,M??sica y baile,16500000,Brasil,17200,1400,26,http://youtube.com/channel/UCgc00bfF_PvO_2AvqJZHXFg
517,Lyna,"Pel?­culas, Animaci?³n",16400000,Argentina,327300,9600,816,http://youtube.com/channel/UC-cnbLlplnXA4oc7rR21qzg
520,GLENTYOUTUBE,Videojuegos,16400000,Rusia,1800000,100900,1800,http://youtube.com/channel/UCBYvr4SqfGQd5fTmOXVQ4Zw
521,T3ddy,Vlogs diarios,16400000,Brasil,413500,42600,941,http://youtube.com/channel/UC5mZsx_OVnc4XmG9rWU2p3A
524,mattstonie,Comida y bebida,16400000,Estados Unidos,1800000,54600,1800,http://youtube.com/channel/UCd1fLoVFooPeWqCEYVUJZqg
525,TWICE,"M??sica y baile, Pel?­culas",16400000,Filipinas,350600,51700,304,http://youtube.com/channel/UCzgxx_DM2Dcb9Y1spb9mUJA
527,Unspeakable,"Videojuegos, Humor",16400000,Estados Unidos,1900000,40000,318,http://youtube.com/channel/UCwIWAbIeu0xI0ReKWOcw3eg
529,ADME_RU,Animaci?³n,16300000,Rusia,17200,472,26,http://youtube.com/channel/UCuVpbMt4yu4I9eAey3khnGg
530,DearSir,Educaci?³n,16300000,India,266300,22500,2300,http://youtube.com/channel/UC9dyrsYEmD4iGJ8Oz1G5dpw
533,antrax,Animaci?³n,16200000,M?©xico,623600,39500,746,http://youtube.com/channel/UCNbwP-bKUlKrE_5qDwvFILQ
535,DylandPROS,"Pel?­culas, Animaci?³n",16200000,Indonesia,21500,996,28,http://youtube.com/channel/UCXdmo_q4SawYMz-dmeKEHPQ
536,TV9Bharatvarsh,Noticias y Pol?­tica,16200000,India,4100,97,1,http://youtube.com/channel/UCOutOIcn_oho8pyVN3Ng-Pg
537,mkmusic,M??sica y baile,16100000,Brasil,29200,1700,67,http://youtube.com/channel/UCbVwJCxsVbmaP1PFmbGQDeQ
538,MoreAliA,"Animaci?³n, Videojuegos",16100000,Estados Unidos,645200,11900,389,http://youtube.com/channel/UCyeVfsThIHM_mEZq7YXIQSQ
540,camilo,M??sica y baile,16000000,Colombia,560000,17000,590,http://youtube.com/channel/UCw0aKHSGFGyrnMeVnHeYMyw
541,Arifmuhammadd,"M??sica y baile, Pel?­culas",16000000,Indonesia,3300000,62400,2000,http://youtube.com/channel/UCfx3oPv3cJm2aCJ7UnhKx8A
543,wifistudy,Educaci?³n,16000000,India,3900,184,4,http://youtube.com/channel/UCuWuAvEnKWez5BUr29VpwqA
544,katakit_baby,M??sica y baile,16000000,Arabia Saudita,174500,1200,0,http://youtube.com/channel/UChDk1SYEDyC4s74mKwfBUKQ
546,JulianaBaltar,"Pel?­culas, Humor",16000000,Brasil,207800,9400,139,http://youtube.com/channel/UCqDauP_ke8Lwt8Hg3Xv-8Iw
548,kuplinovplay,Videojuegos,16000000,Rusia,1900000,124700,2300,http://youtube.com/channel/UCdKuE7a2QZeHPhDntXVZ91w
550,DopeLyrics,M??sica y baile,16000000,Estados Unidos,24200,242,16,http://youtube.com/channel/UCvR2R7j218tzejtTsb_X6Rw
551,hamaarbhojpuri,M??sica y baile,16000000,India,32200,1200,22,http://youtube.com/channel/UCpN-WGQgGsOrXm7nHXDdTDA
552,yudistardhana,Pel?­culas,16000000,Indonesia,492000,18300,148,http://youtube.com/channel/UCvc00uetYIML9D-7BBrEXLA
554,ChetanMongaVlogs,Vlogs diarios,15900000,India,1400000,95100,238,http://youtube.com/channel/UCZLOlM5df0CXW9bP5MAeE7A
555,TeamFilmsBhojpuri,M??sica y baile,15900000,India,11600,241,17,http://youtube.com/channel/UCB4SvelHl4qjFSNYfxhp-SQ
560,RottenTomatoesTRAILERS,"Pel?­culas, Animaci?³n",15800000,Estados Unidos,34600,510,49,http://youtube.com/channel/UCi8e0iOVk1fEOogdfu4YgfA
561,FCBarcelona,Deportes,15800000,Estados Unidos,164500,12100,172,http://youtube.com/channel/UC14UlmYlSNiQCBe9Eookf_A
562,5MCArabic,Pel?­culas,15800000,Egipto,32500,169,4,http://youtube.com/channel/UCy7QvWo7uV_AcoLJL5RIwkQ
565,TalkingFriends,"Animaci?³n, Humor",15700000,Estados Unidos,17800,125,0,http://youtube.com/channel/UCDCNmuaOXOo25Yn4mbMHhhQ
566,SonyMusicSouth,"M??sica y baile, Pel?­culas",15600000,India,256100,3000,85,http://youtube.com/channel/UCn4rEMqKtwBQ6-oEwbd4PcA
567,zutigang,Vlogs diarios,15600000,Estados Unidos,124400,4900,24,http://youtube.com/channel/UCNBTflmnht6ZMRNCDNilw9g
568,HenriqueeJuliano,M??sica y baile,15600000,Brasil,2000000,19100,453,http://youtube.com/channel/UCfLTxnQboSLcoSakgONmukQ
570,CNN,"M??sica y baile, Animaci?³n",15600000,Estados Unidos,152800,2300,983,http://youtube.com/channel/UCupvZG-5ko_eiXAupbDfxWw
571,MobileLegends5v5MOBA,"Animaci?³n, Videojuegos",15600000,Indonesia,80900,695,6,http://youtube.com/channel/UCqmld-BIYME2i_ooRTo1EOg
572,Zayn,M??sica y baile,15600000,Estados Unidos,145200,20500,935,http://youtube.com/channel/UC3PdiRW5dUA4V70ueeR1eHA
573,genierock,M??sica y baile,15600000,Tailandia,66700,742,41,http://youtube.com/channel/UCs2t9DlvAuyTBkvk2djGZKw
574,TheHarshBeniwal,"Pel?­culas, Humor",15600000,India,0,0,0,http://youtube.com/channel/UCVmEbEQUGXHVm-O9pqa3JWg
575,joerogan,Vlogs diarios,15600000,Estados Unidos,1200000,20700,3100,http://youtube.com/channel/UCzQUP1qoWDoEbmsQxvdjxgQ
576,SRKMUSIC,M??sica y baile,15600000,India,13000,318,20,http://youtube.com/channel/UCAH1Aw-mXgcB3t8uaqW4yTA
579,ShriPrashant,Educaci?³n,15500000,India,71800,6300,44,http://youtube.com/channel/UCMgapddJymOC6MBOiOqia1A
580,A2Motivation,Educaci?³n,15500000,India,715000,103500,634,http://youtube.com/channel/UC6ERimtc5zFrn7x6Bk3HaHA
582,Kerajinan5-Menit,M??sica y baile,15400000,Indonesia,11500,70,3,http://youtube.com/channel/UClIYfCAhMAlacxT0e_sl1uA
583,romanatwoodvlogs,"Pel?­culas, Humor",15400000,Estados Unidos,2500000,106700,4300,http://youtube.com/channel/UC-SV8-bUJfXjrRMnp7F8Wzw
584,LinusTechTips,Ciencia y tecnolog?­a,15400000,Estados Unidos,1100000,54800,3100,http://youtube.com/channel/UCXuqSBlHAE6Xw-yeJA0Tunw
586,kompastv,Noticias y Pol?­tica,15400000,Indonesia,4400,34,5,http://youtube.com/channel/UC5BMIWZe9isJXLZZWPWvBlg
589,Jesser,"Videojuegos, Humor",15400000,Estados Unidos,1300000,50600,321,http://youtube.com/channel/UCQIUhhcmXsu6cN6n3y9-Pww
590,RayWilliamJohnson,"Animaci?³n, Humor",15400000,Estados Unidos,2600000,237600,1800,http://youtube.com/channel/UCGt7X90Au6BV8rf49BiM6Dg
591,GoAmiGo,Vlogs diarios,15400000,Colombia,7900000,455300,2300,http://youtube.com/channel/UCp4Fk7Xy_wYq8sFKcKNrQCA
592,nianaguerrero,M??sica y baile,15400000,Filipinas,504800,12100,290,http://youtube.com/channel/UCLysbxhOO_JPOPgcsPCMb8w
593,abscbnnews,Noticias y Pol?­tica,15400000,Filipinas,3800,39,2,http://youtube.com/channel/UCE2606prvXQc_noEqKxVJXA
594,ndtvindia,Noticias y Pol?­tica,15400000,India,3300,38,2,http://youtube.com/channel/UC9CYT9gSNLevX5ey2_6CK0Q
595,MNCTVOfficialId,"M??sica y baile, Pel?­culas",15300000,Indonesia,1200,34,0,http://youtube.com/channel/UC34xi8JB1AKSotPUKHywbaA
597,studyiqofficial,Educaci?³n,15200000,India,16400,883,21,http://youtube.com/channel/UCrC8mOqJQpoB7NuIMKIS6rQ
599,MohamedRamadan,"M??sica y baile, Pel?­culas",15200000,Egipto,272900,6400,82,http://youtube.com/channel/UCJCj2HtcnbOyCj1rmKaxwJg
600,HongyuASMR,ASMR,15200000,Estados Unidos,368500,4100,148,http://youtube.com/channel/UCxtLc0Jqq3SKBWlIXM_OC9g
601,DaftarPopuler,Ciencia y tecnolog?­a,15200000,Indonesia,56400,749,97,http://youtube.com/channel/UCQW2tTNJ40V2T6MqV1eMZ0w
602,EdisonPts,Videojuegos,15200000,Rusia,1600000,108100,4200,http://youtube.com/channel/UCrpt82vHWIWZSHtNQxncPrg
603,SupercarBlondie,Animaci?³n,15200000,Estados Unidos,745100,23100,425,http://youtube.com/channel/UCKSVUHI9rbbkXhvAXK-2uxA
606,kwebbelkop,"Animaci?³n, Videojuegos",15200000,Estados Unidos,60800,602,279,http://youtube.com/channel/UCfLuMSIDmeWRYpuCQL0OJ6A
608,PPMussas,Moda,15200000,M?©xico,230400,10400,393,http://youtube.com/channel/UClnKzwo9CPkYix6V9jK4JTQ
609,Makiman131,"Pel?­culas, Animaci?³n",15200000,Espa?±a,238400,11000,345,http://youtube.com/channel/UCevY-z55kr37ZAXG15F-KiA
614,TazerCraft,"Pel?­culas, Animaci?³n",15000000,Brasil,182000,12700,525,http://youtube.com/channel/UCjBO43ykxlSs3j7F7EXcBUQ
616,XpressTV,Ciencia y tecnolog?­a,15000000,M?©xico,1100000,33400,311,http://youtube.com/channel/UC0YFjwJc3b1otDerdv6CfWA
617,ABCNews,Noticias y Pol?­tica,15000000,Estados Unidos,10900,115,50,http://youtube.com/channel/UCBi2mrWuNuyYy4gbM6fU18Q
618,Therichest,Noticias y Pol?­tica,15000000,Estados Unidos,8500,246,19,http://youtube.com/channel/UCdxi8d8qRsRyUi2ERYjYb-w
619,leagueoflegends,"Pel?­culas, Animaci?³n",15000000,Estados Unidos,909100,45300,1900,http://youtube.com/channel/UC2t5bjwHdUX4vM2g8TRDq5g
621,mispastelitos,Comida y bebida,15000000,M?©xico,1700000,89700,903,http://youtube.com/channel/UCkjjH0hsvaeRIuwGlM9oSvg
622,crashcourse,Ciencia y tecnolog?­a,15000000,Estados Unidos,28900,1200,32,http://youtube.com/channel/UCX6b17PVsYBQ0ip5gyeme-Q
624,itowngameplay,"Animaci?³n, Videojuegos",15000000,M?©xico,47100,2600,167,http://youtube.com/channel/UCKmlxQVs0vHtaLldRIQ8lsA
626,jorgeemateus,M??sica y baile,14900000,Brasil,72600,2400,103,http://youtube.com/channel/UCL64gn1KZ1C-u87BGQv3b6w
630,MattyBRaps,M??sica y baile,14900000,Estados Unidos,267900,949,0,http://youtube.com/channel/UCmdY1pHB-KbFYxOyhwjVeQw
633,GyanGaming,"Videojuegos, Humor",14800000,India,264800,22700,248,http://youtube.com/channel/UChXi_PlJkRMPYFQBOJ3MpxA
634,fueledbyramen,M??sica y baile,14800000,Estados Unidos,88400,696,40,http://youtube.com/channel/UClVrJwcIy7saPcGc1nct80A
635,camilaloures,"Pel?­culas, Humor",14800000,Brasil,271900,16700,237,http://youtube.com/channel/UCvuJTWl_peL49CUfF2EAbyg
637,MeghanTrainor,"Pel?­culas, Humor",14800000,Estados Unidos,17600,662,49,http://youtube.com/channel/UCkXgEcpoTE4tHsebYBouWpA
639,majorlazer,"M??sica y baile, Pel?­culas",14800000,Estados Unidos,25700,722,36,http://youtube.com/channel/UCMJ5Qf3sOvQpcYiai1Noa3Q
640,lachlan,"Animaci?³n, Videojuegos",14800000,Estados Unidos,500700,19500,262,http://youtube.com/channel/UCh7EqOZt7EvO2osuKbIlpGg
641,MalumaVEVO,M??sica y baile,14800000,M?©xico,226400,8500,275,http://youtube.com/channel/UCFkoPRmuxqr37jvGmmpzhzQ
642,chadwildclay,"Pel?­culas, Humor",14800000,Estados Unidos,864700,17500,3200,http://youtube.com/channel/UCwaNuezahYT3BOjfXsne2mg
643,auron,"Pel?­culas, Animaci?³n",14800000,M?©xico,1100000,48800,861,http://youtube.com/channel/UCFR2oaNj02WnXkOgLH0iqOA
644,E_MasterSensei,"Pel?­culas, Videojuegos",14800000,M?©xico,519800,32200,459,http://youtube.com/channel/UC3osN7-7XJq3NEoKZIUUx0w
645,MartinGarrix,M??sica y baile,14800000,Estados Unidos,40700,4000,130,http://youtube.com/channel/UC5H_KXkPbEsGs0tFt8R35mA
647,collegehumor,"Pel?­culas, Humor",14800000,Estados Unidos,212000,10100,487,http://youtube.com/channel/UCPDXXXJj9nax0fr0Wfc048g
648,BBCNews,Noticias y Pol?­tica,14800000,Estados Unidos,66300,913,444,http://youtube.com/channel/UC16niRr50-MSBwiO3YDb3RA
649,DocTops,Animaci?³n,14800000,M?©xico,1300000,45200,881,http://youtube.com/channel/UCAolsolgHiURrQBuZ4qe0lg
650,PrestonPlayz,"Animaci?³n, Videojuegos",14800000,Estados Unidos,787300,11900,686,http://youtube.com/channel/UCJZam2u1G0syq3kyqrCXrNw
656,cokestudio,"M??sica y baile, Pel?­culas",14700000,Pakist??n,1800000,1400,47,http://youtube.com/channel/UCM1VesJtJ9vTXcMLLr_FfdQ
661,rebeccazamolo,"Videojuegos, Humor",14600000,Estados Unidos,2900000,30400,2600,http://youtube.com/channel/UCfw8x3VR-ElcaWW2Tg_jgSA
666,TheDodo,Animales y mascotas,14600000,Estados Unidos,462900,12300,412,http://youtube.com/channel/UCINb0wqPz-A0dV9nARjJlOQ
670,legendaefunk,"M??sica y baile, Animaci?³n",14600000,Brasil,3700,154,8,http://youtube.com/channel/UCgO5cJ4sL1um054gGYusjiA
